access,from,from_i,start_time,stop_time,to,to_i
219,S1,1,2019-06-21 03:03:58.392,2019-06-21 03:15:44.792,S2,2
220,S2,2,2019-06-21 03:17:40.276,2019-06-21 03:29:09.398,CAL,5
221,S1,1,2019-06-21 03:18:34.434,2019-06-21 03:28:33.367,CAL,5
222,S1,1,2019-06-21 03:51:26.297,2019-06-21 04:03:12.559,S2,2
223,S2,2,2019-06-21 03:51:26.297,2019-06-21 04:03:12.559,S1,1
224,S2,2,2019-06-21 03:51:26.297,2019-06-21 04:03:12.559,S1,1
225,S1,1,2019-06-21 03:51:26.297,2019-06-21 04:03:12.559,S2,2
226,S2,2,2019-06-21 04:38:49.020,2019-06-21 04:50:35.426,S1,1
227,S1,1,2019-06-21 04:38:49.020,2019-06-21 04:50:35.426,S2,2
228,S1,1,2019-06-21 04:38:49.020,2019-06-21 04:50:35.426,S2,2
229,S2,2,2019-06-21 04:38:49.020,2019-06-21 04:50:35.426,S1,1
230,S2,2,2019-06-21 04:54:46.162,2019-06-21 04:58:01.671,CAL,5
231,S1,1,2019-06-21 05:26:16.926,2019-06-21 05:38:03.186,S2,2
232,S2,2,2019-06-21 05:26:16.926,2019-06-21 05:38:03.186,S1,1
233,S1,1,2019-06-21 05:26:16.926,2019-06-21 05:38:03.186,S2,2
234,S2,2,2019-06-21 05:26:16.926,2019-06-21 05:38:03.186,S1,1
235,S2,2,2019-06-21 06:13:39.652,2019-06-21 06:25:26.059,S1,1
236,S2,2,2019-06-21 06:13:39.652,2019-06-21 06:25:26.059,S1,1
237,S1,1,2019-06-21 06:13:39.652,2019-06-21 06:25:26.059,S2,2
238,S1,1,2019-06-21 06:13:39.652,2019-06-21 06:25:26.059,S2,2
239,S2,2,2019-06-21 07:01:07.561,2019-06-21 07:12:53.816,S1,1
240,S1,1,2019-06-21 07:01:07.561,2019-06-21 07:12:53.816,S2,2
241,S1,1,2019-06-21 07:01:07.561,2019-06-21 07:12:53.816,S2,2
242,S2,2,2019-06-21 07:01:07.561,2019-06-21 07:12:53.816,S1,1
243,S1,1,2019-06-21 07:18:56.805,2019-06-21 07:28:11.139,SAA,4
244,S2,2,2019-06-21 07:48:30.280,2019-06-21 08:00:16.690,S1,1
245,S1,1,2019-06-21 07:48:30.280,2019-06-21 08:00:16.690,S2,2
246,S2,2,2019-06-21 07:48:30.280,2019-06-21 08:00:16.690,S1,1
247,S1,1,2019-06-21 07:48:30.280,2019-06-21 08:00:16.690,S2,2
248,S2,2,2019-06-21 08:35:58.190,2019-06-21 08:47:44.446,S1,1
249,S1,1,2019-06-21 08:35:58.190,2019-06-21 08:47:44.446,S2,2
250,S1,1,2019-06-21 08:35:58.190,2019-06-21 08:47:44.446,S2,2
251,S2,2,2019-06-21 08:35:58.190,2019-06-21 08:47:44.446,S1,1
252,S2,2,2019-06-21 08:51:30.293,2019-06-21 09:03:00.084,SAA,4
253,S1,1,2019-06-21 08:52:03.172,2019-06-21 09:03:02.127,SAA,4
254,S1,1,2019-06-21 09:23:20.907,2019-06-21 09:35:07.321,S2,2
255,S2,2,2019-06-21 09:23:20.907,2019-06-21 09:35:07.321,S1,1
256,S2,2,2019-06-21 09:23:20.907,2019-06-21 09:35:07.321,S1,1
257,S1,1,2019-06-21 09:23:20.907,2019-06-21 09:35:07.321,S2,2
258,S1,1,2019-06-21 10:10:48.823,2019-06-21 10:22:35.075,S2,2
259,S1,1,2019-06-21 10:10:48.823,2019-06-21 10:22:35.075,S2,2
260,S2,2,2019-06-21 10:10:48.823,2019-06-21 10:22:35.075,S1,1
261,S2,2,2019-06-21 10:10:48.823,2019-06-21 10:22:35.075,S1,1
262,S1,1,2019-06-21 10:26:47.621,2019-06-21 10:37:36.280,SCL,3
263,S2,2,2019-06-21 10:27:08.309,2019-06-21 10:34:04.817,SAA,4
264,S2,2,2019-06-21 10:27:39.365,2019-06-21 10:35:26.397,SCL,3
265,S1,1,2019-06-21 10:58:11.540,2019-06-21 11:09:57.955,S2,2
266,S2,2,2019-06-21 10:58:11.540,2019-06-21 11:09:57.955,S1,1
267,S2,2,2019-06-21 10:58:11.540,2019-06-21 11:09:57.955,S1,1
268,S1,1,2019-06-21 10:58:11.540,2019-06-21 11:09:57.955,S2,2
269,S1,1,2019-06-21 11:45:39.455,2019-06-21 11:57:25.701,S2,2
270,S2,2,2019-06-21 11:45:39.455,2019-06-21 11:57:25.701,S1,1
271,S2,2,2019-06-21 11:45:39.455,2019-06-21 11:57:25.701,S1,1
272,S1,1,2019-06-21 11:45:39.455,2019-06-21 11:57:25.701,S2,2
273,S2,2,2019-06-21 12:00:02.965,2019-06-21 12:11:28.144,SCL,3
274,S1,1,2019-06-21 12:00:56.661,2019-06-21 12:10:55.026,SCL,3
275,S1,1,2019-06-21 12:22:12.537,2019-06-21 12:30:33.871,CAL,5
276,S2,2,2019-06-21 12:33:02.168,2019-06-21 12:44:48.589,S1,1
277,S2,2,2019-06-21 12:33:02.168,2019-06-21 12:44:48.589,S1,1
278,S1,1,2019-06-21 12:33:02.168,2019-06-21 12:44:48.589,S2,2
279,S1,1,2019-06-21 12:33:02.168,2019-06-21 12:44:48.589,S2,2
280,S1,1,2019-06-21 13:20:30.084,2019-06-21 13:32:16.328,S2,2
281,S2,2,2019-06-21 13:20:30.084,2019-06-21 13:32:16.328,S1,1
282,S1,1,2019-06-21 13:20:30.084,2019-06-21 13:32:16.328,S2,2
283,S2,2,2019-06-21 13:20:30.084,2019-06-21 13:32:16.328,S1,1
284,S2,2,2019-06-21 13:37:22.627,2019-06-21 13:40:13.221,SCL,3
285,S2,2,2019-06-21 13:53:52.612,2019-06-21 14:05:06.561,CAL,5
286,S1,1,2019-06-21 13:54:05.427,2019-06-21 14:05:33.718,CAL,5
287,S2,2,2019-06-21 14:07:52.799,2019-06-21 14:19:39.222,S1,1
288,S2,2,2019-06-21 14:07:52.799,2019-06-21 14:19:39.222,S1,1
289,S1,1,2019-06-21 14:07:52.799,2019-06-21 14:19:39.222,S2,2
290,S1,1,2019-06-21 14:07:52.799,2019-06-21 14:19:39.222,S2,2
291,S2,2,2019-06-21 14:55:20.718,2019-06-21 15:07:06.958,S1,1
292,S1,1,2019-06-21 14:55:20.718,2019-06-21 15:07:06.958,S2,2
293,S2,2,2019-06-21 14:55:20.718,2019-06-21 15:07:06.958,S1,1
294,S1,1,2019-06-21 14:55:20.718,2019-06-21 15:07:06.958,S2,2
295,S2,2,2019-06-21 15:29:01.623,2019-06-21 15:38:10.611,CAL,5
296,S1,1,2019-06-21 15:42:43.428,2019-06-21 15:54:29.853,S2,2
297,S1,1,2019-06-21 15:42:43.428,2019-06-21 15:54:29.853,S2,2
298,S2,2,2019-06-21 15:42:43.428,2019-06-21 15:54:29.853,S1,1
299,S2,2,2019-06-21 15:42:43.428,2019-06-21 15:54:29.853,S1,1
300,S1,1,2019-06-21 19:25:00.047,2019-06-21 19:36:19.655,SAA,4
301,S2,2,2019-06-21 19:25:53.777,2019-06-21 19:35:11.268,SAA,4
302,S2,2,2019-06-21 20:58:33.057,2019-06-21 21:09:44.933,SAA,4
303,S1,1,2019-06-21 21:00:24.456,2019-06-21 21:09:02.648,SAA,4
304,S1,1,2019-06-21 21:03:58.151,2019-06-21 21:11:12.907,SCL,3
305,S1,1,2019-06-21 22:35:05.674,2019-06-21 22:46:43.696,SCL,3
306,S2,2,2019-06-21 22:35:06.268,2019-06-21 22:46:09.208,SCL,3
307,S2,2,2019-06-22 00:09:43.377,2019-06-22 00:19:29.869,SCL,3
308,S1,1,2019-06-22 00:13:23.926,2019-06-22 00:17:20.319,SCL,3
309,S1,1,2019-06-22 01:27:25.111,2019-06-22 01:37:48.328,CAL,5
310,S2,2,2019-06-22 01:28:39.452,2019-06-22 01:35:04.952,CAL,5
311,S2,2,2019-06-22 03:00:26.658,2019-06-22 03:12:06.177,CAL,5
312,S1,1,2019-06-22 03:01:06.527,2019-06-22 03:11:55.695,CAL,5
313,S2,2,2019-06-22 04:36:10.313,2019-06-22 04:42:49.028,CAL,5
314,S1,1,2019-06-22 07:02:35.840,2019-06-22 07:09:56.699,SAA,4
315,S2,2,2019-06-22 08:34:27.793,2019-06-22 08:45:39.613,SAA,4
316,S1,1,2019-06-22 08:34:43.932,2019-06-22 08:46:08.187,SAA,4
317,S2,2,2019-06-22 10:09:12.682,2019-06-22 10:18:02.333,SAA,4
318,S1,1,2019-06-22 10:09:58.775,2019-06-22 10:19:53.951,SCL,3
319,S2,2,2019-06-22 10:11:46.940,2019-06-22 10:16:37.041,SCL,3
320,S2,2,2019-06-22 11:42:50.584,2019-06-22 11:54:22.789,SCL,3
321,S1,1,2019-06-22 11:43:28.599,2019-06-22 11:54:16.262,SCL,3
322,S1,1,2019-06-22 12:06:13.580,2019-06-22 12:12:38.586,CAL,5
323,S2,2,2019-06-22 13:18:36.524,2019-06-22 13:25:09.342,SCL,3
324,S1,1,2019-06-22 13:36:52.324,2019-06-22 13:48:25.539,CAL,5
325,S2,2,2019-06-22 13:37:03.774,2019-06-22 13:47:44.957,CAL,5
326,S2,2,2019-06-22 15:11:09.196,2019-06-22 15:21:27.735,CAL,5
327,S1,1,2019-06-22 15:13:52.148,2019-06-22 15:20:13.098,CAL,5
328,S1,1,2019-06-22 19:08:12.651,2019-06-22 19:18:56.428,SAA,4
329,S2,2,2019-06-22 19:09:44.797,2019-06-22 19:17:21.092,SAA,4
330,S2,2,2019-06-22 20:41:10.152,2019-06-22 20:52:44.104,SAA,4
331,S1,1,2019-06-22 20:42:25.001,2019-06-22 20:52:29.049,SAA,4
332,S1,1,2019-06-22 20:48:30.061,2019-06-22 20:52:49.838,SCL,3
333,S1,1,2019-06-22 22:17:58.095,2019-06-22 22:29:32.695,SCL,3
334,S2,2,2019-06-22 22:18:24.704,2019-06-22 22:28:42.967,SCL,3
335,S2,2,2019-06-22 23:51:57.947,2019-06-23 00:02:43.253,SCL,3
336,S1,1,2019-06-22 23:54:18.628,2019-06-23 00:01:42.895,SCL,3
337,S1,1,2019-06-23 01:10:42.271,2019-06-23 01:19:55.815,CAL,5
338,S2,2,2019-06-23 02:43:18.535,2019-06-23 02:54:52.979,CAL,5
339,S1,1,2019-06-23 02:43:45.208,2019-06-23 02:55:06.597,CAL,5
340,S2,2,2019-06-23 04:18:16.502,2019-06-23 04:26:48.600,CAL,5
341,S1,1,2019-06-23 06:47:05.774,2019-06-23 06:50:47.203,SAA,4
342,S1,1,2019-06-23 08:17:31.610,2019-06-23 08:29:03.114,SAA,4
343,S2,2,2019-06-23 08:17:33.756,2019-06-23 08:28:06.743,SAA,4
344,S2,2,2019-06-23 09:51:33.863,2019-06-23 10:01:37.901,SAA,4
345,S1,1,2019-06-23 09:53:23.273,2019-06-23 10:01:53.963,SCL,3
346,S1,1,2019-06-23 09:53:35.803,2019-06-23 09:59:31.646,SAA,4
347,S2,2,2019-06-23 11:25:44.380,2019-06-23 11:37:06.941,SCL,3
348,S1,1,2019-06-23 11:26:07.692,2019-06-23 11:37:25.625,SCL,3
349,S1,1,2019-06-23 11:51:08.577,2019-06-23 11:53:55.100,CAL,5
350,S2,2,2019-06-23 13:00:40.105,2019-06-23 13:09:10.057,SCL,3
351,S1,1,2019-06-23 13:19:49.229,2019-06-23 13:31:11.827,CAL,5
352,S2,2,2019-06-23 13:20:26.490,2019-06-23 13:30:16.652,CAL,5
353,S2,2,2019-06-23 14:53:31.828,2019-06-23 15:04:34.293,CAL,5
354,S1,1,2019-06-23 14:55:24.979,2019-06-23 15:03:58.494,CAL,5
355,S1,1,2019-06-23 18:51:38.405,2019-06-23 19:01:24.628,SAA,4
356,S2,2,2019-06-23 18:54:12.018,2019-06-23 18:59:00.169,SAA,4
357,S2,2,2019-06-23 20:23:58.589,2019-06-23 20:35:35.914,SAA,4
358,S1,1,2019-06-23 20:24:43.720,2019-06-23 20:35:41.202,SAA,4
359,S1,1,2019-06-23 22:01:00.949,2019-06-23 22:12:15.655,SCL,3
360,S2,2,2019-06-23 22:01:12.417,2019-06-23 22:06:55.416,SAA,4
361,S2,2,2019-06-23 22:01:56.716,2019-06-23 22:11:08.066,SCL,3
362,S2,2,2019-06-23 23:34:26.471,2019-06-23 23:45:46.935,SCL,3
363,S1,1,2019-06-23 23:36:04.059,2019-06-23 23:45:19.366,SCL,3
364,S1,1,2019-06-24 00:54:16.739,2019-06-24 01:01:41.331,CAL,5
365,S2,2,2019-06-24 02:26:16.463,2019-06-24 02:37:29.326,CAL,5
366,S1,1,2019-06-24 02:26:29.557,2019-06-24 02:38:07.169,CAL,5
367,S2,2,2019-06-24 04:00:38.113,2019-06-24 04:10:27.319,CAL,5
368,S1,1,2019-06-24 04:02:36.288,2019-06-24 04:08:16.167,CAL,5
369,S1,1,2019-06-24 08:00:26.263,2019-06-24 08:11:47.016,SAA,4
370,S2,2,2019-06-24 08:00:50.965,2019-06-24 08:10:18.713,SAA,4
371,S2,2,2019-06-24 09:34:05.455,2019-06-24 09:44:58.268,SAA,4
372,S1,1,2019-06-24 09:35:29.624,2019-06-24 09:43:41.801,SAA,4
373,S1,1,2019-06-24 09:37:12.551,2019-06-24 09:43:24.692,SCL,3
374,S2,2,2019-06-24 11:08:45.123,2019-06-24 11:19:39.905,SCL,3
375,S1,1,2019-06-24 11:08:53.012,2019-06-24 11:20:24.256,SCL,3
376,S2,2,2019-06-24 12:43:00.583,2019-06-24 12:52:48.524,SCL,3
377,S1,1,2019-06-24 12:45:04.729,2019-06-24 12:50:34.489,SCL,3
378,S1,1,2019-06-24 13:02:56.295,2019-06-24 13:13:52.543,CAL,5
379,S2,2,2019-06-24 13:04:03.280,2019-06-24 13:12:39.359,CAL,5
380,S2,2,2019-06-24 14:36:06.517,2019-06-24 14:47:33.212,CAL,5
381,S1,1,2019-06-24 14:37:25.331,2019-06-24 14:47:21.108,CAL,5
382,S1,1,2019-06-24 18:35:21.036,2019-06-24 18:43:40.863,SAA,4
383,S2,2,2019-06-24 20:06:57.959,2019-06-24 20:18:20.886,SAA,4
384,S1,1,2019-06-24 20:07:16.165,2019-06-24 20:18:43.543,SAA,4
385,S2,2,2019-06-24 21:42:34.930,2019-06-24 21:50:55.089,SAA,4
386,S1,1,2019-06-24 21:44:14.831,2019-06-24 21:54:52.168,SCL,3
387,S2,2,2019-06-24 21:45:47.034,2019-06-24 21:53:20.073,SCL,3
388,S2,2,2019-06-24 23:17:06.643,2019-06-24 23:28:43.186,SCL,3
389,S1,1,2019-06-24 23:18:12.180,2019-06-24 23:28:37.564,SCL,3
390,S1,1,2019-06-25 00:38:33.970,2019-06-25 00:42:39.139,CAL,5
391,S2,2,2019-06-25 00:55:57.284,2019-06-25 00:58:51.546,SCL,3
392,S1,1,2019-06-25 02:09:19.349,2019-06-25 02:20:57.782,CAL,5
393,S2,2,2019-06-25 02:09:21.698,2019-06-25 02:19:53.934,CAL,5
394,S2,2,2019-06-25 03:43:08.995,2019-06-25 03:53:51.640,CAL,5
395,S1,1,2019-06-25 03:44:32.770,2019-06-25 03:52:27.612,CAL,5
396,S1,1,2019-06-25 07:43:28.786,2019-06-25 07:54:19.104,SAA,4
397,S2,2,2019-06-25 07:44:25.899,2019-06-25 07:52:08.978,SAA,4
398,S2,2,2019-06-25 09:16:44.996,2019-06-25 09:28:06.208,SAA,4
399,S1,1,2019-06-25 09:17:45.535,2019-06-25 09:27:24.563,SAA,4
400,S1,1,2019-06-25 10:51:44.398,2019-06-25 11:03:12.464,SCL,3
401,S2,2,2019-06-25 10:51:54.563,2019-06-25 11:01:59.935,SCL,3
402,S2,2,2019-06-25 12:25:31.122,2019-06-25 12:36:11.899,SCL,3
403,S1,1,2019-06-25 12:26:57.256,2019-06-25 12:34:48.410,SCL,3
404,S1,1,2019-06-25 12:46:14.349,2019-06-25 12:56:27.042,CAL,5
405,S2,2,2019-06-25 12:48:00.063,2019-06-25 12:54:47.458,CAL,5
406,S2,2,2019-06-25 14:18:51.817,2019-06-25 14:30:25.917,CAL,5
407,S1,1,2019-06-25 14:19:42.674,2019-06-25 14:30:31.269,CAL,5
408,S2,2,2019-06-25 15:56:07.873,2019-06-25 16:02:01.447,CAL,5
409,S1,1,2019-06-25 18:19:30.480,2019-06-25 18:25:35.587,SAA,4
410,S1,1,2019-06-25 19:50:00.355,2019-06-25 20:01:38.070,SAA,4
411,S2,2,2019-06-25 19:50:08.705,2019-06-25 20:00:58.770,SAA,4
412,S2,2,2019-06-25 21:24:31.860,2019-06-25 21:34:24.422,SAA,4
413,S1,1,2019-06-25 21:27:41.291,2019-06-25 21:37:20.907,SCL,3
414,S1,1,2019-06-25 21:28:10.455,2019-06-25 21:32:09.670,SAA,4
415,S2,2,2019-06-25 21:30:10.311,2019-06-25 21:35:04.685,SCL,3
416,S2,2,2019-06-25 22:59:57.450,2019-06-25 23:11:33.075,SCL,3
417,S1,1,2019-06-25 23:00:35.715,2019-06-25 23:11:44.621,SCL,3
418,S2,2,2019-06-26 00:36:32.432,2019-06-26 00:43:32.865,SCL,3
419,S1,1,2019-06-26 01:52:14.908,2019-06-26 02:03:38.199,CAL,5
420,S2,2,2019-06-26 01:52:36.840,2019-06-26 02:02:04.150,CAL,5
421,S2,2,2019-06-26 03:25:46.704,2019-06-26 03:37:04.255,CAL,5
422,S1,1,2019-06-26 03:26:49.698,2019-06-26 03:36:13.072,CAL,5
423,S1,1,2019-06-26 07:26:41.235,2019-06-26 07:36:37.355,SAA,4
424,S2,2,2019-06-26 07:28:41.411,2019-06-26 07:33:14.531,SAA,4
425,S2,2,2019-06-26 08:59:31.520,2019-06-26 09:11:02.912,SAA,4
426,S1,1,2019-06-26 09:00:13.569,2019-06-26 09:10:50.292,SAA,4
427,S1,1,2019-06-26 10:34:42.353,2019-06-26 10:45:49.844,SCL,3
428,S2,2,2019-06-26 10:35:16.399,2019-06-26 10:44:03.255,SCL,3
429,S2,2,2019-06-26 10:35:49.209,2019-06-26 10:41:13.973,SAA,4
430,S2,2,2019-06-26 12:08:09.084,2019-06-26 12:19:23.099,SCL,3
431,S1,1,2019-06-26 12:09:12.532,2019-06-26 12:18:34.087,SCL,3
432,S1,1,2019-06-26 12:29:45.263,2019-06-26 12:38:53.671,CAL,5
433,S2,2,2019-06-26 12:32:39.465,2019-06-26 12:36:18.641,CAL,5
434,S2,2,2019-06-26 14:01:47.151,2019-06-26 14:13:13.048,CAL,5
435,S1,1,2019-06-26 14:02:12.971,2019-06-26 14:13:32.921,CAL,5
436,S2,2,2019-06-26 15:37:34.346,2019-06-26 15:45:52.397,CAL,5
